feature,importance
sent_idx,0.6685218534887611
tfidf_pct,0.09087203347149504
s_words,0.06671187198276411
n_sentences,0.056726098559996115
rel_pos,0.040598567420009585
tfidf_norm,0.03342203698151003
cap_ratio,0.027937758551947973
n_digits,0.015209779543516037
